IntervalRelMin,IntervalRelMax,NumberOfSamples,Dense,BatchSize,Epochs,TrainLoss,ValLoss,CustomMetrics_Small_rectangles_finalValue,CustomMetrics_Mid_rectangles_finalValue,CustomMetrics_Huge_rectangles_finalValue
0.05,0.25,4000,"[64, 64, 64, 64, 64]",50,1100,0.00017752290295902642,0.00012866970791947097,0.0012071053497493267,0.0006944200722500683,0.00013439501344691962
0.05,0.25,4000,"[64, 64, 64, 64, 64, 64]",50,1400,0.00011541071580722927,0.0001164310160675086,0.001153693301603198,0.00027155398856848484,0.00018086003547068685
0.05,0.25,4000,"[64, 64]",50,500,0.00013305735774338245,0.0001850617700256408,0.0018669853452593086,0.0007525933324359357,0.00014790175191592425
0.05,0.25,4000,"[64, 128, 64]",50,900,0.00015677484043408183,0.00018855581583920864,0.003243917366489768,0.0012519176816567779,0.0002774865715764463
0.05,0.25,4000,"[256, 512, 1024, 512, 256]",50,1700,0.002994961803779006,0.002770004561170936,0.013161675073206423,0.013510867953300476,0.003077310975641012
0.05,0.25,4000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00015726283891126508,0.0001364014606224373,0.0012652281438931825,0.0008441247628070414,0.0003022232558578253
0.05,0.25,1000,[32],50,500,0.0011227888753637671,0.0015524477930739526,0.0070178587920963756,0.005808532703667879,0.0015896001132205127
0.05,0.25,1000,[64],50,500,0.0011757235042750835,0.0016498224576935172,0.0069944048300385475,0.004930129274725914,0.0021217439789325
0.05,0.25,1000,[128],50,500,0.0020709799136966467,0.0031100735068321232,0.008285540156066421,0.007480920292437077,0.0015517115825787187
0.05,0.25,1000,"[64, 64, 64]",50,800,0.00016440433682873845,0.0005638566799461843,0.0033342475071549416,0.001977503066882491,0.0004893778241239488
0.05,0.25,1000,"[64, 64, 64, 64]",50,800,0.00011971613275818528,0.00032079973607324064,0.003117041429504752,0.002304397523403168,0.00019991945009678602
0.05,0.25,1000,"[64, 64, 64, 64, 64]",50,1100,0.00011352675210218877,0.000328642752720043,0.00256677926518023,0.0018725907430052762,0.00021620556071866304
0.05,0.25,1000,"[64, 64, 64, 64, 64, 64]",50,1400,0.0001602539123268798,0.0003450775984674692,0.003351155901327729,0.0017393319867551331,0.0003229438443668187
0.05,0.25,1000,"[64, 64]",50,500,0.0002168865321436897,0.0006180557538755237,0.006981802638620138,0.004206520039588213,0.0005336568574421109
0.05,0.25,1000,"[64, 128, 64]",50,900,0.00036307578557170933,0.0005709147662855685,0.004021295346319675,0.003287904663011432,0.0005888944142498076
0.05,0.25,1000,"[256, 512, 1024, 512, 256]",50,1700,0.00025518241454847157,0.00031681713880971074,0.0018884065793827176,0.001380579429678619,0.00043020560406148434
0.05,0.25,1000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00013913937436882404,0.0002566231414675713,0.0018963711336255074,0.0012895866530016065,0.00034407287603244185
0.3,0.9,2000,[32],50,500,9.788582246983424e-05,0.00023364747175946832,0.013288083486258984,0.011858775280416012,0.002096792683005333
0.3,0.9,2000,[64],50,500,0.00015843092114664614,0.0003633494779933243,0.013987462036311626,0.012502845376729963,0.002166440710425377
0.3,0.9,2000,[128],50,500,0.0009037285344675183,0.0006566735100932419,0.012395543046295645,0.012568339705467224,0.002930687507614493
0.3,0.9,2000,"[64, 64, 64]",50,800,2.9382024877122607e-05,2.9354378057178113e-05,0.01283743977546692,0.011069795116782187,0.0012460614088922741
0.3,0.9,2000,"[64, 64, 64, 64]",50,800,2.213841435150244e-05,4.8532481741858646e-05,0.010669004172086716,0.010001449845731258,0.0015352033078670502
0.3,0.9,2000,"[64, 64, 64, 64, 64]",50,1100,3.1577834306517616e-05,6.332122575258835e-05,0.013102525845170021,0.011074884794652462,0.0016514309681952
0.3,0.9,2000,"[64, 64, 64, 64, 64, 64]",50,1400,7.401867333101109e-05,9.212780423695222e-05,0.01414894498884678,0.012181461788713932,0.002095998264849186
0.3,0.9,2000,"[64, 64]",50,500,1.945976327988319e-05,4.474533488973975e-05,0.013122938573360443,0.01069281529635191,0.0018357081571593878
0.3,0.9,2000,"[64, 128, 64]",50,900,2.783536183414981e-05,4.039960549562238e-05,0.012022390030324459,0.009890908375382423,0.0016521187499165535
0.3,0.9,2000,"[256, 512, 1024, 512, 256]",50,1700,9.747278818394987e-05,7.839510362828149e-05,0.011243121698498726,0.009870594367384907,0.0013302664738148447
0.3,0.9,2000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00020020616648253048,0.00017895079508889467,0.01361013762652874,0.01368323154747486,0.002952088601887226
0.05,0.25,6000,[32],50,500,0.00034156697802245617,0.0003387474571354687,0.0021133744157850747,0.0014876145869493484,0.00018246722174808383
0.05,0.25,6000,[64],50,500,0.0008949958719313145,0.002977962139993906,0.006737870629876852,0.00436378363519907,0.00278928317129612
0.05,0.25,6000,[128],50,500,0.0003843330196104944,0.0004638729733414948,0.0028158207423985004,0.0017337275203317404,0.0004028169787488878
0.05,0.25,6000,"[64, 64, 64]",50,800,0.00028435778222046787,0.0004355071287136525,0.0016208859160542488,0.0009255718905478717,0.00034532984136603767
0.05,0.25,6000,"[64, 64, 64, 64]",50,800,0.00016788042557891458,0.00017824009410105646,0.0015011320356279616,0.0006082046311348678,0.00014904940326232463
0.05,0.25,6000,"[64, 64, 64, 64, 64]",50,1100,0.00016097690968308598,0.0001949666766449809,0.0008678743615746497,0.0008734496077522633,0.00013490718265529722
0.05,0.25,6000,"[64, 64, 64, 64, 64, 64]",50,1400,0.0001373730192426592,0.00017739749455358833,0.0009076804853975774,0.0007871596608310938,0.00014649267541244626
0.05,0.25,6000,"[64, 64]",50,500,0.00016366387717425826,0.0002600967418402433,0.002149836625903845,0.0010139497462660074,0.0003104491042904557
0.05,0.25,6000,"[64, 128, 64]",50,900,0.00023704615887254482,0.00028644310077652335,0.0021194126456975933,0.0012564118951559073,0.0002122573350789025
0.05,0.25,6000,"[256, 512, 1024, 512, 256]",50,1700,0.0003807768516708165,0.0004950433503836393,0.002118851989507675,0.0014955076621845365,0.0006998666212894022
0.05,0.25,6000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00031770436908118427,0.0002673942071851344,0.0019006680231541395,0.0012451831717044115,0.0003116725711151957
0.05,0.25,2000,[32],50,500,0.00034685176797211165,0.000522849732078612,0.003708096453920007,0.0028322590515017514,0.00043818348785862327
0.05,0.25,2000,[64],50,500,0.0011678246082738044,0.002209483180195093,0.009658043272793293,0.006426024250686169,0.002120429649949074
0.05,0.25,2000,[128],50,500,0.0003911491658072919,0.0006364641012623906,0.0077918516471982,0.0033653457649052143,0.0012757554650306706
0.05,0.25,2000,"[64, 64, 64]",50,800,0.0001065199394361116,0.0002112791407853365,0.002855507656931877,0.0014017148641869426,0.0004517054767347872
0.05,0.25,2000,"[64, 64, 64, 64]",50,800,0.00012258620699867606,0.00018740237283054745,0.002208393067121505,0.0012804815778508782,0.00023168492771219462
0.05,0.25,2000,"[64, 64, 64, 64, 64]",50,1100,0.00014510647451970726,0.0002320051135029644,0.0024200999177992344,0.0013495504390448332,0.0002590946387499571
0.05,0.25,2000,"[64, 64, 64, 64, 64, 64]",50,1400,0.00013900463818572462,0.00027199549367651343,0.001977256964892149,0.0013251234777271748,0.0003044998738914728
0.05,0.25,2000,"[64, 64]",50,500,0.0002340007631573826,0.0003916959103662522,0.005018942523747683,0.002585047390311957,0.00029332496342249215
0.05,0.25,2000,"[64, 128, 64]",50,900,0.00012521646567620337,0.00026267030625604093,0.0020439564250409607,0.001279811025597155,0.00020279503951314842
0.05,0.25,2000,"[256, 512, 1024, 512, 256]",50,1700,0.001432760152965784,0.0016324083553627133,0.01007075048983097,0.009906580671668051,0.0014008573489263654
0.05,0.25,2000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00016877584857866168,0.00022784409520681947,0.0017702806508168578,0.0014673349214717744,0.0003235059848520905
0.3,0.9,3000,[32],50,500,0.00023009553842712202,0.0003749735769815743,0.013082417659461498,0.01275180745869875,0.002630395814776421
0.3,0.9,3000,[64],50,500,0.00027388668968342245,0.00040691107278689737,0.016013437882065773,0.013786274939775469,0.0036172438412904735
0.3,0.9,3000,[128],50,500,0.0002820556110236794,0.00018263261881656942,0.011549952439963821,0.011405260302126408,0.0015601292252540588
0.3,0.9,3000,"[64, 64, 64]",50,800,2.140182186849416e-05,2.4343145923921842e-05,0.011740478686988355,0.009982257150113584,0.0011177670676261187
0.3,0.9,3000,"[64, 64, 64, 64]",50,800,4.939846257911995e-05,3.875447146128863e-05,0.01266787014901638,0.011152712628245355,0.001381774665787816
0.3,0.9,3000,"[64, 64, 64, 64, 64]",50,1100,4.2367846617707976e-05,4.392233677208424e-05,0.013165258802473543,0.01121612824499607,0.0015245209215208884
0.3,0.9,3000,"[64, 64, 64, 64, 64, 64]",50,1400,3.3150285162264474e-05,3.7767560570500784e-05,0.011754855513572693,0.010493886657059193,0.001401110552251339
0.3,0.9,3000,"[64, 64]",50,500,1.811414222174789e-05,3.610946805565618e-05,0.011178743094205856,0.00931884441524744,0.0011383539531379938
0.3,0.9,3000,"[64, 128, 64]",50,900,1.873353903647512e-05,2.093527291435749e-05,0.009843581356108187,0.008229094557464123,0.0007945297984406352
0.3,0.9,3000,"[256, 512, 1024, 512, 256]",50,1700,4.7854184231255203e-05,3.838085103780031e-05,0.01212354190647602,0.010518118739128113,0.0015131417894735932
0.3,0.9,3000,"[256, 512, 1024, 512, 512, 256]",50,2100,1.979587432288099e-05,3.517674485919997e-05,0.008222803473472595,0.007796724792569877,0.000978760770522058
